event_id,day,driver,n_hours,baseline_mae,llm_context_mae,oracle_mae,random_mean_mae,llm_minus_baseline_mae,oracle_minus_baseline_mae,random_mean_minus_baseline_mae,random_single_path_mae_mean,random_single_path_mae_p05,random_single_path_mae_p50,random_single_path_mae_p95,p_random_single_beats_llm,max_abs_llm_forecast_shift,max_abs_oracle_forecast_shift,random_declared_mw,random_width_hours
T065,2024-06-18,unavail_tx_import_mw,24,8.899239445157564,8.899239445157564,8.587283846833124,7.629414964040381,0.0,-0.31195559832444,-1.2698244811171824,7.629414964040332,7.62941496404033,7.62941496404033,7.62941496404033,1.0,0.0,1.5110070976731578,1100.0,24
T065,2024-06-20,unavail_tx_import_mw,24,15.130369622929924,15.130369622929924,15.130369622929924,11.596351706754021,0.0,0.0,-3.5340179161759036,11.59635170675403,11.596351706754028,11.596351706754028,11.596351706754028,1.0,8.881784197001252e-16,1.7763568394002505e-15,1100.0,24
T069,2025-02-28,unavail_tx_import_mw,24,17.147343274479287,17.147343274479287,16.717940923020475,17.017527600249117,0.0,-0.4294023514588119,-0.12981567423016926,17.01752760024908,17.01752760024908,17.01752760024908,17.01752760024908,1.0,0.0,4.871696807590681,1000.0,24
T069,2025-03-01,unavail_tx_import_mw,24,8.331919651856852,8.331919651856852,9.153450316146575,8.680526618208974,0.0,0.8215306642897229,0.34860696635212207,8.680526618208999,8.680526618208997,8.680526618208997,8.680526618208997,0.0,0.0,2.5377768702081553,1000.0,24
G079,2025-05-10,avail_gen_mw,24,27.899311904163806,27.93179250304243,27.906722350743653,27.928971846783003,0.032480598878624534,0.007410446579847019,0.029659942619197466,27.928971846783025,27.928971846783025,27.928971846783025,27.928971846783025,1.0,2.5075083760383237,0.5452536375107968,1040.0,24
G079,2025-05-09,avail_gen_mw,24,21.610187618534876,21.675902592242654,21.33458583241882,21.67770906544959,0.06571497370777735,-0.2756017861160558,0.06752144691471429,21.67770906544951,21.67770906544951,21.67770906544951,21.67770906544951,0.0,3.058617938050645,1.2445571587303021,1040.0,24
G079,2025-05-17,avail_gen_mw,24,9.346255930411163,9.421547231886391,8.657456039580651,9.722712437787294,0.07529130147522878,-0.6887998908305111,0.37645650737613146,9.722712437787305,9.722712437787303,9.722712437787303,9.722712437787303,0.0,0.3068845443812229,3.3653741755703876,1040.0,24
G085,2025-08-16,avail_gen_mw,24,14.246262540237657,14.348708815223702,14.603266224442864,14.236160817390413,0.10244627498604508,0.3570036842052069,-0.010101722847243977,14.236160817390406,14.2361608173904,14.2361608173904,14.2361608173904,1.0,1.492805864876754,2.6542027832032105,1121.0,24
G074,2025-02-07,avail_gen_mw,24,14.459309339763637,14.592471645725889,14.459309339763637,16.799063974494633,0.13316230596225154,0.0,2.339754634730996,16.79906397449471,16.799063974494707,16.799063974494707,16.799063974494707,0.0,2.076352403150466,1.4210854715202004e-14,1172.0,24
T069,2025-03-27,unavail_tx_import_mw,24,10.884014260389952,11.024387482380254,10.884014260389952,11.059480787877844,0.140373221990302,0.0,0.1754665274878917,11.059480787877831,11.059480787877831,11.059480787877831,11.059480787877831,0.0,1.1374062694586229,7.105427357601002e-15,1000.0,24
