created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source
2025-10-07 10:22:56+00:00,945,SE_3,Planned maintenance,A03,,2024-06-08 12:00:00+02:00,qhB5HFJj4fgnpIvIHDVrJw,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,1,2024-06-07 10:30:00+02:00,A77
2025-10-07 10:27:19+00:00,815,SE_3,Planned maintenance,A03,,2024-06-11 02:30:00+02:00,1IsC2mT27b5sVXnEF4hqYg,1014.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,1,2024-06-10 23:00:00+02:00,A77
2025-10-07 10:27:38+00:00,0,SE_3,Unplanned outage,A03,,2024-06-11 06:00:00+02:00,V2d7t5x705xhgCXT6xmOyw,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,3,2024-06-10 10:40:00+02:00,A77
2025-10-07 10:32:23+00:00,800,SE_3,Unplanned outage,A03,,2024-06-13 14:00:00+02:00,Z-rSFx9mbcn53A4zpcdlZw,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,1,2024-06-13 13:00:00+02:00,A77
2025-10-07 10:36:56+00:00,900,SE_3,Unplanned outage,A03,,2024-06-14 18:00:00+02:00,69NUywqKiusLEm0ZnKmVtg,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,2,2024-06-14 14:30:00+02:00,A77
2025-10-07 10:43:10+00:00,0,SE_3,Unplanned outage,A03,,2024-06-18 23:30:00+02:00,buhO1Zuhh5KpcVLM3Betew,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G1,1,MAW,PT1M,1,2024-06-18 22:04:00+02:00,A80
2025-10-07 10:43:31+00:00,0,SE_3,Unplanned outage,A03,,2024-06-19 11:00:00+02:00,HuFOHPU1GIcXlSZ-miG8vA,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,8,2024-06-13 20:00:00+02:00,A77
2025-10-07 10:44:07+00:00,0,SE_3,Planned maintenance,A03,,2024-06-20 12:00:00+02:00,F7uTwCKgVJRVzRm9b8T_jw,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G1,1,MAW,PT1M,1,2024-06-20 10:00:00+02:00,A80
2025-10-07 10:48:33+00:00,0,SE_3,Unplanned outage,A03,,2024-06-22 01:30:00+02:00,AR3XZAvVcMoQzJviqzsYCg,130.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G3,1,MAW,PT1M,1,2024-06-22 00:08:00+02:00,A80
2025-10-07 10:50:43+00:00,0,SE_3,Unplanned outage,A03,,2024-06-24 23:59:00+02:00,Kotz7hoLO4Ze28N4KaATrg,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,2,2024-06-19 21:00:00+02:00,A77
2025-10-07 11:17:28+00:00,0,SE_3,Unplanned outage,A03,,2024-07-09 14:00:00+02:00,zWy3S5iE9qCXNu0qelFjlQ,569.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,Ringhals block 4 G42,1,MAW,PT1M,6,2024-06-18 17:00:00+02:00,A80
2025-10-07 11:45:34+00:00,0,SE_3,Planned maintenance,A03,,2024-07-23 14:00:00+02:00,JJDv5QsXtyi_fc1myenqeg,130.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G3,1,MAW,PT1M,1,2024-07-23 08:00:00+02:00,A80
2025-10-07 12:02:23+00:00,0,SE_3,Planned maintenance,A03,,2024-07-21 19:27:00+02:00,XKE7emB0GO2njuSysfy8Ow,1063.0,Nuclear,46WPU00000000121,SE3,Ringhals 3,,1,MAW,PT1M,12,2024-05-15 01:00:00+02:00,A77
2025-10-07 12:13:18+00:00,495,SE_3,Planned maintenance,A03,,2024-07-07 12:00:00+02:00,pEnmC0HKX0yAxcItVWmMNA,1014.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,12,2024-06-30 22:00:00+02:00,A77
